Name,Emulated,ReleaseDate,Developer,Manufacturer,Cpu,Memory,Graphics,Sound,Display,Media,MaxControllers,Notes,Category
Nintendo Wii,true,2006-12-02,Nintendo,Foxconn,"PowerPC-based Broadway processor, made with a 90 nm SOI CMOS process, reportedly clocked at 729 MHz","88 MB main memory (24 MB internal 1T-SRAM integrated into graphics package, 64 MB external GDDR3 SDRAM)","ATI ""Hollywood"" 3 MB embedded GPU texture memory and framebuffer",Stereo Dolby Pro Logic II + Controllers with built-in speakers,A/V Multi-Out Port,DVD-ROM,4,"The Wii is a home video game console released by Nintendo on November 19, 2006. As a seventh-generation console, the Wii competes with Microsoft's Xbox 360 and Sony's PlayStation 3. Nintendo states that its console targets a broader demographic than that of the two others. As of the first quarter of 2012, the Wii leads its generation over PlayStation 3 and Xbox 360 in worldwide sales, with more than 101 million units sold; in December 2009, the console broke the sales record for a single month in the United States. The Wii introduced the Wii Remote controller, which can be used as a handheld pointing device and which detects movement in three dimensions. Another notable feature of the console is the now-defunct WiiConnect24, which enabled it to receive messages and updates over the Internet while in standby mode. Like other seventh-generation consoles, it features a game download service, called ""Virtual Console"", which features emulated games from past systems. It succeeded the Nintendo GameCube, and early models are fully backwards-compatible with all GameCube games and most accessories. Nintendo first spoke of the console at the 2004 E3 press conference and later unveiled it at the 2005 E3. Nintendo CEO Satoru Iwata revealed a prototype of the controller at the September 2005 Tokyo Game Show. At E3 2006, the console won the first of several awards. By December 8, 2006, it had completed its launch in the four key markets. In late 2011, Nintendo released a reconfigured model, the ""Wii Family Edition"", which lacks Nintendo GameCube compatibility; this model was not released in Japan. The Wii Mini, Nintendo's first major console redesign since the compact SNES, succeeded the standard Wii model and was released first in Canada on December 7, 2012. The Wii Mini can only play Wii optical discs, as it omits GameCube compatibility and all networking capabilities. The Wii's successor, the Wii U, was released on November 18, 2012. On October 20, 2013, Nintendo confirmed it had discontinued production of the Wii in Japan and Europe, although the Wii Mini is still in production and available in Europe.",Consoles
Nintendo Wii U,true,2012-11-18,Nintendo,"Nintendo, Foxconn, Mitsumi","1.24 GHz Tri-Core IBM PowerPC ""Espresso""",2 GB DDR3,"550 MHz AMD Radeon ""Latte""","5.1 Linear PCM, Analog stereo","Composite video, S-Video, RGB, Component video YPBPR, D-Terminal, HDMI","Wii U Optical Disc (25 GB), Wii Optical Disc (4.7 GB/8.54 GB)",8,"The Nintendo Wii U is an eighth generation (2012–present) home video game console developed and distributed by Nintendo. It was released on November 18, 2012 in North America at a retail price of $299. The console was later released in Europe (2012), Japan (2012), South America (2012), and Australia (2012). The Wii U was much like its predecessor the Wii, but with the added GamePad, which allowed games to be played on its screen instead of the TV, or was utilized for interesting multi-player game mechanics in some games. The console was discontinued in January 2017.",Consoles
Ouya,true,2012-12-28,"Ouya, Inc.","Ouya, Inc.",1.7 GHz Quad-Core ARM Cortex-A9,1 GiB DDR3 SDRAM,NVidia GeForce ULP @ 520 MHz (12.48 GFLOPS),"HDMI (ARC), 2.0 channel","HDMI 1080p, 720p",,,"The Ouya, stylized OUYA, is a microconsole running its own version of the Android operating system, developed by Ouya Inc. Julie Uhrman founded the project in 2012. She brought in designer Yves Béhar to collaborate on the design of the project, and Muffi Al-Ghadiali as product manager to put together the engineering team. Development was funded via Kickstarter, raising $8.5 million and becoming the website's fifth-highest earning project in its history.

Units started to ship to Kickstarter backers on March 28, 2013. The console was released to the general public on June 25, 2013, and features an exclusive Ouya store for applications and games designed specifically for the Ouya platform, of which the majority are casual games targeted at or used by a mass audience of casual gamers. Out of the box, Ouya supports media apps such as TwitchTV and XBMC media player. It runs a modified version of Android 4.1 Jelly Bean, and is open to rooting without voiding the warranty (developer models ordered during the Kickstarter campaign for $699 or $1,337 come pre-rooted). The console's hardware design allows it to be easily opened up, requiring only a standard screwdriver for easy modding and possible hardware addons.

All systems can be used as development kits, allowing any Ouya owner to also be a developer, without the need for licensing fees. All games were initially required to have some kind of free-to-play aspect, whether that be completely free, has a free trial, or has purchasable upgrades, levels, or other in-game items. This requirement has since been removed. The Ouya was released during the eighth generation of video game consoles, competing against the PlayStation 4, Xbox One, and Wii U.",Consoles
Philips CD-i,true,1991-12-03,Philips,Philips,Philips SCC68070,1 MB main RAM,"SCC66470, later MCD 212",MCD 221 16-bit stereo,"384x280 (min), 768x560 (max)",CD-ROM,2,"The Philips CD-i (Compact Disc Interactive) is an interactive multimedia CD player developed and marketed by Royal Philips Electronics N.V. This category of device was created to provide more functionality than an audio CD player or game console, but at a lower price than a personal computer with CD-ROM drive at the time. The cost savings were due to the lack of a hard drive, floppy drive, keyboard, mouse, monitor (a standard television was used), and less operating system software. In addition to games, educational and multimedia reference titles were produced, such as interactive encyclopedias, museum tours, etc. before public Internet access was widespread. Competitors included the Tandy VIS and Commodore CDTV.

Seen as a game console, the CD-i format proved to be a commercial failure. The company lost nearly one billion dollars on the entire project. The failure of the CD-i caused Philips to leave the video game industry after it was discontinued.

The CD-i is also one of the earliest consoles to implement internet features, including subscriptions, web browsing, downloading, e-mail, and online play. This was facilitated by the use of an additional hardware modem that Philips released in 1996.",Consoles
Sega 32X,true,1994-06-01,Sega,Sega,Two Hitachi SH2 32-bit RISC processors with a clock speed of 23 MHz,256 Kilobytes of random-access memory (RAM),"32,768 colors and rendering 50,000 polygons per second",Pulse-width modulation sound source,"Input/output is supplied to a television set via a provided A/V cable that supplies composite video and stereo audio, or through an RF modulator",Cartridges,2,"The Sega 32X is an add-on for the Sega Genesis video game console. Codenamed ""Project Mars"", the 32X was designed to expand the power of the Genesis and serve as a transitional console into the 32-bit era until the release of the Sega Saturn. Independent of the Genesis, the 32X uses its own ROM cartridges and has its own library of games. The add-on was distributed under the name Super 32X (????32X?) in Japan, Sega Genesis 32X in North America, Sega Mega Drive 32X in the PAL region, and Sega Mega 32X in Brazil.

Unveiled by Sega at June 1994's Consumer Electronics Show, the 32X was presented as a low-cost option for consumers looking to play 32-bit games. Developed in response to the Atari Jaguar and concerns that the Saturn would not make it to market by the end of 1994, the product was first conceived as an entirely new console. At the suggestion of Sega of America executive Joe Miller and his team, the console was converted into an add-on to the existing Genesis and made more powerful. The final design contained two 32-bit central processing unit chips and a 3D graphics processor. To bring the new add-on to market by its scheduled release date of November 1994, development of the new system and its games were rushed. The console failed to attract third-party video game developers and consumers because of the announcement of the Sega Saturn's simultaneous release in Japan. Sega's efforts to rush the 32X to market cut into available time for game development, resulting in a weak library of forty titles that could not fully utilize the add-on's hardware, including Genesis ports. By the end of 1994, the 32X had sold 665,000 units. After price reductions in 1995, it was discontinued in 1996 as Sega turned its focus to the Saturn.

The 32X is considered a commercial failure. Reception after the add-on's unveiling and launch was positive, highlighting the low price of the system and power expansion to the Genesis. Later reviews, both contemporary and retrospective, for the 32X have been mostly negative because of its shallow game library, poor market timing and the resulting market fragmentation for the Genesis.",Consoles
Sega CD,true,1991-12-12,Sega,Sega,MC68000 @ 12.5 MHz,,,Ricoh RF5C164,"HDMI 1080p, 720p","CD-ROM, CD+G",2,"The Sega CD, released as the Mega-CD in most regions outside North America, is a CD-ROM accessory for the Sega Genesis video game console designed and produced by Sega as part of the fourth generation of video game consoles. The add-on was released on December 12, 1991 in Japan, October 15, 1992 in North America, and 1993 in Europe. The Sega CD lets the user play CD-based games and adds extra hardware functionality, such as a faster central processing unit and graphic enhancements. It can also play audio CDs and CD+G discs.

Seeking to create an add-on device for the Genesis, Sega developed the unit to read compact discs as its storage medium. The main benefit of CD technology was greater storage capacity, which allowed for games to be nearly 320 times larger than their Genesis cartridge counterparts. This benefit manifested in the form of full motion video (FMV) games like the controversial Night Trap, which became a focus of the 1993 Congressional hearings on issues of video game violence and ratings. Sega of Japan partnered with JVC to design the add-on and refused to consult with Sega of America until the project was completed. Sega of America assembled parts from various ""dummy"" units to obtain a working prototype. While the add-on became known for several well-received games such as Sonic the Hedgehog CD and Lunar: Eternal Blue, its game library contained a large number of Genesis ports and FMV titles. The Sega CD was redesigned a number of times, including once by Sega and several times by licensed third-party developers.

By the end of 1994, the add-on had sold approximately 2.7 million units worldwide, compared to 29 million units for the Genesis sold by that time. In 1995, Sega began shifting its focus towards its new console, the Sega Saturn, over the Genesis and Sega CD. The Sega CD was officially discontinued in 1996. Retrospective reception to the add-on is mixed, praising the Sega CD for its individual offerings and additions to the Genesis' functions, but offering criticism to the game library for its depth issues, high price of the unit, and how the add-on was supported by Sega.",Consoles
Sega Dreamcast,true,1998-11-27,Sega,Sega,Hitachi SH4 32-bit RISC,"16 MB main RAM, 8 MB video RAM",Power VR2 CLX2 integrated with the system ASIC,Yahama AICA SPU,Up to 640x480,1.2 GB GD-ROM,4,"The Dreamcast is a 128-bit video game console which was released by Sega in late 1998 in Japan and from September 1999 in other territories. It was the first entry in the sixth generation of video game consoles, preceding Sony's PlayStation 2, Microsoft's Xbox and the Nintendo GameCube.",Consoles
Sega Game Gear,true,1990-10-06,Sega,Sega,Zilog Z80,"8 KB RAM, 16 KB video RAM",Custom VDP,TI SN76489,160x144,Cartridge,1,"The Sega Game Gear was Sega's first handheld game console. It was the third commercially available color handheld console, after the Atari Lynx and the TurboExpress.",Handhelds
Sega Genesis,true,1989-08-14,Sega Enterprises,Sega Enterprises,"Motorola 68000, Zilog Z80 co-processor",64 KB main RAM and 64 KB video RAM,Yahama YM7101 VDP,"Yamaha YM2612, Texas Instruments SN76489A","256x224, 256x448, 320x224, 320x448",ROM cartridge,2,"The Sega Genesis, known as the Mega Drive in most regions outside North America, is a 16-bit home video game console which was developed and sold by Sega Enterprises, Ltd. The Genesis was Sega's third console and the successor to the Master System. Sega first released the console as the Mega Drive in Japan in 1988, followed by a North American debut under the Genesis moniker in 1989. In 1990, the console was distributed as the Mega Drive by Virgin Mastertronic in Europe, by Ozisoft in Australasia, and by Tec Toy in Brazil. In South Korea, the systems were distributed by Samsung and were known as the Super Gam*Boy, and later the Super Aladdin Boy.

The main microprocessor of the Genesis is a 16/32-bit Motorola 68000 CPU clocked at 7.6 MHz. The console also includes a Zilog Z80 sub-processor, which was mainly used to control the sound hardware and also provides backwards compatibility with the Master System.",Consoles
Sega Master System,true,1986-09-01,SEGA Enterprises Ltd.,SEGA Enterprises Ltd.,8-bit NEC uPD780C @ 3.58 MHz,"8 KB RAM, 16 KB video RAM",Yamaha YM2602 @ 10 MHz,TI SN76489 PSG 4 channels,256x224 (NTSC) or 256x240 (PAL),"ROM cartridge, Sega My Card",2,"The Master System (abbreviated to SMS) is a third-generation video game console that was manufactured and released by Sega in 1985 in Japan (as the Sega Mark III), 1986 in North America and 1987 in Europe. The original SMS could play both cartridges and the credit card-sized ""Sega Cards,"" which retailed for cheaper prices than cartridges but had less code. The SMS also featured accessories such as a light gun and 3D glasses which were designed to work with a range of specially coded games. The Master System was released as a direct competitor to the Nintendo Entertainment System in the third videogame generation The SMS was technically superior to the NES, which predated its release significantly, but failed to overturn Nintendo's significant market share advantage in Japan and North America.",Consoles
Sega Saturn,true,1994-11-22,Sega,Sega,Two Hitachi SH-2 32-bit RISC processors,1 MB SDRAM as work RAM for each CPU,"Custom VDP1 (sprites/polys), VDP2 (backgrounds)","Yamaha FH1 DSP, Motorola 68EC000 SPU","320x224, 640x224, 720x576",CD-ROM,2,"The Sega Saturn is a 32-bit fifth-generation video game console that was first released by Sega on November 22, 1994 in Japan, May 11, 1995 in North America, and July 8, 1995 in Europe. The system was discontinued in North America and Europe in 1998, and in 2000 in Japan. While it was popular in Japan, the Saturn failed to gain a similar market share in North America and Europe against its main competitors: Sony's PlayStation and the Nintendo 64.",Consoles
Sinclair ZX Spectrum,true,1982-04-21,Sinclair Research,Sinclair Research,Zilog Z80A (or a NEC D780C-1 clone),"16, 48, or 128 KB",N/A,1-channel,256x192 graphics and 32x24 text,Cassette tape,1,"The ZX Spectrum is an 8-bit personal home computer released in the United Kingdom in 1982 by Sinclair Research Ltd. The Spectrum was ultimately released as eight different models, ranging from the entry level model with 16 kB RAM released in 1982 to the ZX Spectrum +3 with 128 kB RAM and built in floppy disk drivee.

The Spectrum was among the first mainstream audience home computers in the UK, similar in significance to the Commodore 64 in the USA. The Commodore 64, BBC Microcomputer and later the Amstrad CPC range were major rivals to the Spectrum in the UK market during the early 1980s.",Computers
Sony Playstation,true,1994-12-03,Sony Computer Entertainment,Sony Computer Entertainment,MIPS R3000A compatible 32-bit RISC CPU,"2 MB RAM, 1 MB video RAM",32-bit Sony GPU,"16-bit Sony SPU, 24 channel ADPCM",256x224 to 640x480,CD-ROM,2,"The Sony PlayStation, or PS for short, is a fifth generation (1993–2005) home video game console developed and distributed by Sony Interactive Entertainment. It was released on December 3, 1994 in Japan at a retail price of ¥37,000. The console was later released in North America (1995), Europe (1995), Australia (1995), and Korea (1996). The PlayStation was known for standardizing disc based games over cartridges, as well as controllers with two analog sticks and vibration feedback.  The console was discontinued on March 23, 2006.",Consoles
Sony Playstation 2,true,2000-03-04,Sony,Sony,Emotion Engine,32 MG RDRAM and 4 MB video DRAM,Graphics Synthesizer GPU,"Dolby Digital 5.1 SS, Dolby Pro Logic, DTS",256x224 up to 1280x1024,"CD-ROM, DVD-ROM",2,"The Sony PlayStation 2, or PS2 for short, is a sixth generation (1998–2013) home video game console developed and distributed by Sony Interactive Entertainment. It was released on March 4, 2000 in Japan at a retail price of ¥45,000. The console was later released in North America (2000), Europe (2000), and Australia (2000). The PlayStation 2 was the first PlayStation console to offer backwards compatibility for its predecessor's DualShock controller, as well as for its games. The console was discontinued on January 4, 2013.",Consoles
Sony Playstation 3,true,2006-11-11,SCEI,"Sony EMCS, Foxconn, ASUSTeK",3.2 GHz Cell Broadband Engine with 1 PPE & 7 SPEs,256 MB system and 256 MB video,"550 MHz NVIDIA/SCEI RSX ""Reality Synthesizer""","Analog stereo TOSLINK LPCM 2ch 44.1 kHz, 48 kHz, 88 kHz, 176.4 kHz, Dolby Digital 5.1, DTS 5.1 AAC","Composite, S-Video, RGB, Component, D-Terminal, HDMI",Blu-Ray,7,"The Sony PlayStation 3, or PS3 for short, is a seventh generation (2005–2017) home video game console developed and distributed by Sony Interactive Entertainment. It was released on November 11, 2006 in Japan at a retail price of ¥59,800. The console was later released in North America (2006), Europe (2007), and Australia (2007). The PlayStation 3 was the first console to use Blu-ray Disc as its primary storage medium. The console was discontinued on May 29, 2017.",Consoles
Sony Playstation 4,true,2013-11-15,Sony,"Sony, Foxconn","Semi-custom 8-core AMD x86-64 Jaguar CPU (integrated into APU), Secondary low power processor (for background tasks)","8 GB GDDR5 (unified), 256 MB DDR3 RAM (for background tasks)",Semi-custom AMD GCN Radeon (integrated into APU),AMD TrueAudio,HDMI up to 4K,Blu-Ray,4,"The Sony PlayStation 4, or PS4 for short, is an eighth generation (2012-present) home video game console developed and distributed by Sony Interactive Entertainment. It was released on November 15, 2013 in North America at a retail price of $399.99. The console was later released in Europe (2013), South America (2013), Australia (2013) and Japan (2014). The PlayStation 4 places an increased emphasis on social interaction and integration with other devices and services, including the ability to play games off-console on PlayStation Vita and other supported devices via Remote Play. As of this date, the console is still in production.",Consoles
Sony Playstation Vita,true,2011-12-17,Sony,Sony,4 core ARM Cortex-A9 MPCore,"512 MB RAM, 128 MB VRAM",4 core SGX543MP4+,Stereo speakers,960x544,Cartridge,1,"The PlayStation Vita is a handheld game console manufactured and marketed by Sony Computer Entertainment. It is the successor to the PlayStation Portable.

The handheld includes two analog sticks, a 5-inch (130 mm) OLED multi-touch capacitive touchscreen, and supports Bluetooth, Wi-Fi and optional 3G.",Handhelds
Sony PSP,true,2004-12-12,Sony,Sony,Sony CXD2962GG (based on MIPS R4000 core),32 MB,Sony CXD187,Embedded VME sound core,480x272,UMD disc,1,"The PlayStation Portable (PSP) is a handheld game console developed by Sony. Development of the handheld was announced during E3 2003, and it was unveiled on May 11, 2004, at a Sony press conference before E3 2004. The system was released in Japan on December 12, 2004, in North America on March 24, 2005, and in the PAL region on September 1, 2005. It primarily competed with the Nintendo DS, as part of the seventh generation of video games.  The PlayStation Portable became the most powerful portable system when launched, just after the Nintendo DS in 2004. It was the first real competitor to Nintendo's handheld domination, where many challengers, such as SNK's Neo Geo Pocket and Nokia's N-Gage, failed. Its GPU encompassed high-end graphics on a handheld, while its 4.3 inch viewing screen and multi-media capabilities, such as its video player and TV tuner, made the PlayStation Portable a major mobile entertainment device at the time. It also features connectivity with the PlayStation 3, other PSPs and the Internet. It is the only handheld console to use an optical disc format, Universal Media Disc (UMD), as its primary storage medium.  The original PSP model (PSP-1000) was replaced by a slimmer model with design changes (PSP-2000/""Slim & Lite"") in 2007. Another remodeling followed in 2008, PSP-3000, which included a new screen and an inbuilt microphone. A complete redesign, PSP Go, came in 2009, followed by a budget model, PSP-E1000, in 2011. The PSP line was succeeded by the PlayStation Vita, released in December 2011 in Japan, and in February 2012 worldwide. The PlayStation Vita features backward compatibility with many PlayStation Portable games digitally released on the PlayStation Network, via PlayStation Store. Shipments of the PlayStation Portable ended throughout 2014 worldwide, having sold 80 million units in its 10-year lifetime.",Handhelds
Super Nintendo Entertainment System,true,1990-11-21,Nintendo,Nintendo,Ricoh 5A22,"Main 128 KB DRAM, Video 64 KB SRAM",16 bit PPU,Sony SPC700 and Sony DSP,512x478 max,ROM cartridge,2,"The Super Nintendo Entertainment System (also known as the Super NES, SNES or Super Nintendo) is a 16-bit home video game console developed by Nintendo that was released in 1990 in Japan, 1991 in North America, 1992 in Europe and Australasia (Oceania), and 1993 in South America.

In Japan, the system is called the Super Famicom, officially adopting the abbreviated name of its predecessor, the Family Computer, or SFC for short.

In South Korea, it is known as the Super Comboy and was distributed by Hyundai Electronics.

Although each version is essentially the same, several forms of regional lockout prevent the different versions from being compatible with one another.",Consoles
NEC TurboGrafx-16,true,1989-08-29,"NEC Corporation, Hudson Soft","NEC Corporation, Hudson Soft",8-bit Hudson HuC6280 @ 7.16 MHz,"8 KB RAM, 64 KB video RAM",16-bit Hudson HuC6270 @ 10 MHz,6 PSG audio channels,"256x224p, 352x224p, 512x224p, 256x240p, 352x240p, 512x240p, 256x448i, 352x448i, 512x448i, 256x480i, 352x480i, 512x480i",HuCards (aka Turbo Chips),1 (up to 5 with TurboTap),"TurboGrafx-16, fully titled as TurboGrafx-16 Entertainment SuperSystem and known in Japan as the PC Engine, is a video game console developed by Hudson Soft and NEC, released in Japan on October 30, 1987, and in North America on August 29, 1989.",Consoles
WonderSwan,true,1999-03-04,"Bandai Co., Ltd.","Bandai Co., Ltd.",NEC V30MZ @ 3 MHz,64 KB,8 Shades of Gray,4 channels,224x144,Cartridge,1,"The WonderSwan is a handheld game console released in Japan by Bandai. It was developed by Gunpei Yokoi's company Koto Laboratory and Bandai, and was the last piece of hardware Yokoi developed before his death in 1997. Released in 1999 in the fifth generation of video game consoles, the WonderSwan and its two later models, the WonderSwan Color and SwanCrystal were officially supported until being discontinued by Bandai in 2003. During its lifespan, no variation of the WonderSwan was released outside Japan.  Powered by a 16-bit central processing unit, the WonderSwan took advantage of a low price point and long battery life in comparison to its competition, Nintendo's Game Boy Color and SNK's Neo Geo Pocket Color. Later improvements took advantage of quality upgrades to the handheld's screen and added color. The WonderSwan is playable both vertically and horizontally, and features a unique library of games, including numerous first-party titles based on licensed anime properties, as well as significant third-party support from Square, Namco, and Taito.  Overall, the WonderSwan in all its variations combined to sell an estimated 3.5 million units and managed to obtain as much as 8% of the Japanese handheld video game console market before being marginalized by Nintendo's Game Boy Advance. Retrospective feedback praises the potential of the WonderSwan despite its low sales and its brief time holding its own against Nintendo in the marketplace.",Handhelds
WonderSwan Color,true,2000-12-09,"Bandai Co., Ltd.","Bandai Co., Ltd.",NEC V30MZ @ 3 MHz,64 KB,241 Colors,4 channels,224x144,Cartridge,1,"The WonderSwan Color was released on December 9, 2000 (only in Japan). It was created by Bandai, and the successor to the original WonderSwan. In Japan, it was met with modest success and sales (especially considering Nintendo's near-monopoly of the handheld market). The market share of the WonderSwan Color was approximately 8%, according to Bandai. Much of this success is credited to the low price of the handheld; ¥6800, or $59. The WonderSwan Color also had great third party support, with companies such as Squaresoft (who ported many of the original Final Fantasy games to the WonderSwan Color). When the WonderSwan Color's successor, the SwanCrystal, was released, Nintendo had regained support of Squaresoft, however. One of the unique features of the WonderSwan (all versions) was the fact that it could be played either horizontally or vertically.",Handhelds
Magnavox Odyssey 2,true,1978-12-01,Magnavox / Philips,Magnavox / Philips,Intel 8048,64 bytes,Intel 8244 (NTSC) or 8245 (PAL),"1 channel, handled by the graphics chip",160x200,ROM cartridge,2,"The Magnavox Odyssey 2 is a second generation (1976–1992) home video game console developed and distributed by Magnavox. It was released in February 1979 in North America at a retail price of $179. The console was also released in Europe (1979), and later South America (1983), and Japan (1982). The Odyssey 2 included a full alphanumeric membrane keyboard, which was to be used for educational games, selecting options, or programming. The console was discontinued on March 20, 1984.",Consoles
Fairchild Channel F,true,1976-11-01,Fairchild Semiconductor,Fairchild Semiconductor,Fairchild F8 (2-chip cpu),"64 bytes main RAM, 2 KB video RAM",N/A,"120, 500, 1000 Hz beeps modulatable",128x64,ROM cartridge,2,"The Fairchild Channel F is a home video game console released by Fairchild Semiconductor in November 1976.

It has the distinction of being the first programmable ROM cartridge–based video game console, and the first console to use a microprocessor. It was launched as the Video Entertainment System, or VES, but when Atari released their VCS the next year, Fairchild renamed it's machine.",Consoles
BBC Microcomputer System,true,1981-12-01,Acorn Computers,Acorn Computers,MOS Technology 6502A/6512A,"16 KB, 32 KB, 64 KB, 128 KB",Motorola 6845 and Mullard SAA5050 Teletext,"Texas Instruments SN76489, 4 channels, mono","8 modes: 5 graphics, 2 text only and 1 Teletext","Cassette tape, Floppy disc, Winchester HD",2,"The British Broadcasting Corporation Microcomputer System, BBC Microcomputer System, or best known as the BBC Micro is a series of microcomputers designed by Acorn Computers Ltd. and distributed by the BBC. The first models were released in December 1981 in Europe for £235 or £335, depending on the model. The computers were also released in North America (1983). The computers were designed with an emphasis on education, and being more rugged then other brands. The computers were manufactured until an unspecified time in 1994.",Computers
Memotech MTX512,true,1983-06-01,Memotech,Memotech,Zilog Z80A,64 KB fitted (512 KB max),Texas TMS 9929A (PAL) TMS 9918 (NTSC),TI SN76489AN (4 channels - 3 voice 1 noise),256x192 (3 modes - 2 graphics 1 text),Cassette tape,2,"Like many of the other computers at the time, including the Sinclair ZX range, Memotech computers were based on the Zilog Z80 8-bit microprocessor. The computers were originally available in two models, the MTX500 with 32KBytes of RAM and the MTX512 with 64KBytes of RAM. The MTX500 was launched at the Earls Court Computer Fair in June 1983 and the MTX512 was available later in the year.

The final machine from Memotech Computers, released in September 1984, was the RS128. The RS128 was fitted with 128 KBytes of RAM and used page switching to get around the Z80 restriction of only being able to address a maximum of 64KBytes of RAM.",Computers
Camputers Lynx,true,1983-01-01,Camputers,Camputers,Z80A,"48 KB, 96KB, 128 KB, 192KB",Motorola 6845,4-bit DAC,256x252 8 colours,"Cassette tape, Floppy disc (optional)",,"The Lynx was an 8-bit British home computer that was first released in early 1983 as a 48 kB model. Several models were available with 48 kB, 96 kB or 128 kB RAM. It was possible to reach 192 kB with RAM expansions on board. John Shireff designed the hardware and Davis Jansons the firmware.

The machine was based around a Z80A CPU clocked at 4 MHz, (6 MHz for the 128/192 kB models) and featured a Motorola 6845 as video controller. It was possible to run CP/M with the optional 5.25"" floppy disk-drive on the 96 kB and 128 kB models

Compared to, for example, the Commodore 64, the BASIC was more extensive and faster and resolution of graphics was better; but computer games on the other hand suffered from the special implementation and lack of hardware for sound and sprites. Thus, it was better for exploring programming or working with maths.",Computers
Tiger Game.com,true,1997-09-01,Tiger Electronics,Tiger Electronics,Sharp SM8521,N/A,Sharp SM8521,8-bit PCM and FM synthesis,200x160 4 shade grayscale,ROM cartridge,,"The Game.com is a fifth-generation handheld game console released by Tiger Electronics in August 1997. A smaller version, the Game.com Pocket Pro, was released in mid-1999. The first version of the Game.com can be connected to a 14.4 kbit/s modem for Internet connectivity, hence its name referencing the top level domain .com. It was the first video game console to include a touchscreen and the first handheld console to include Internet connectivity. The Game.com sold less than 300,000 units and was discontinued in 2000 because of poor sales. While the Game.com was a commercial failure, similar features were later used with great success by Nintendo in their DS handheld console. The Game.com was the first to include basic PDA-functions, the first to allow two game carts to be inserted at once, and the first handheld to allow internet access.",Handhelds
Oric Atmos,true,1984-01-01,Oric Products,Oric Products,MOS 6502A,48 KB,Semi-custom ASIC,GI 8912,200x240 graphics and 28x40 text mode,"Cassette tape, Microdisc, Floppy disc",,"The Oric Atmos was a British designed and built machine and was the successor to the Oric 1. Oric International to released the Oric Atmos, which added a true keyboard and an updated V1.1 ROM to the Oric-1.  Soon after the Atmos was released, the modem, printer and 3-inch floppy disk drive originally promised for the Oric-1 were announced and released by the end of 1984. Our Oric Atmos is on display in our main gallery.",Computers
Acorn Electron,true,1983-08-25,Acorn Computers,Acorn Computers,MOS Technology 6502A,32 KB,BBC Micro hardware emulated in software,1 sound channel and 1 emulated noise channel,5 graphics modes and 5 text,"Tape, Floppy disc, ROM cartridge",,"The Acorn Electron is a home computer designed by Acorn Computers Ltd. The computer was released in August 1983 in Europe at a retail price of £175. The computer was not released outside of Europe. The Electron was a budget version of the BBC Micro educational/home computer, and for a short period, the Electron was reportedly the best selling micro in the United Kingdom. The computer was manufactured until an unspecified time in 1985.",Computers
Dragon 32/64,true,1982-08-01,Dragon Data,Dragon Data,Motorola MC6809E,"32 KB, 64 KB",MC6847 VDG,N/A,Various modes,Cassette tape,2,"The Dragon 32 and Dragon 64 are home computers that were built in the 1980s. The Dragons are very similar to the TRS-80 Color Computer, and were produced for the European market by Dragon Data, Ltd., in Port Talbot, Wales, and for the US market by Tano of New Orleans, Louisiana.

A broad range of peripherals exist for the Dragon 32/64, and on top of this there are add-ons such as the Dragon's Claw which give the Dragons access to the BBC Micro's large range of accessories (a particularly important factor in the UK home market).

The Dragon uses analogue joysticks, unlike most systems of the time which used less versatile but cheaper digital systems. Other uses for the joystick ports include light pens.",Computers
Entex Adventure Vision,true,1982-01-01,Entex,Entex,Intel 8048,1 KB,"40x1 LED array and a spinning mirror, 15 fps",National Semiconductor COP411L,150x40,ROM cartridge,1,"The Adventurevision is a cartridge based tabletop video game system produced by Entex in 1982. The system has a rather unique built in LED display composed of a column of 40 LEDs and a spinning mirror that produced a display with a resolution of 150x40 pixels.

Another product using this technique was produced by Nintendo in the mid 1990s–the Virtual Boy.

Control is through a single multi-position joystick and two sets of four buttons, one on each side of the joystick, for ease of play by both left- and right-handed players.

Four game cartridges can be stored in  bays on top of the case.

With hindsight this seems inspired as ultimately only four games were released. Three were arcade ports, Defender, Super Cobra and Turtles and the fourth was an Asteroids clone called Space Force.

It's a very rare system (only 10,000 units were made, and only 1000 each of the 3 separate games), and due to it's fragile nature and moving parts not many have survived.

Boxed systems can sell for around 20 times the original retail price.",Consoles
APF Imagination Machine,true,1979-12-31,APF Electronics,APF Electronics,Motorola 6800,1 KB expandable to 17 KB,MC6847,1 channel,128x192 and 256x192 (8 and 4 colours),ROM cartridge,2,"The APF Imagination Machine is a combination home video game console and computer system released by APF Electronics Inc. in late 1979. It was composed of two separate components, the APF-M1000 game system, and an add on docking bay with full sized typewriter keyboard and tape drive. The APF-M1000 was built specifically to compete with the Atari 2600.",Consoles
Mattel Aquarius,true,1983-06-01,Radofin,Radofin,Zilog Z80A,4 KB expandable to 52 KB,N/A,1 voice expandable to 4,80x72 graphics and 40x24 text,"Cassette tape, ROM cartridge",,"The Mattel Aquarius was the first and only genuine home computer offered by Mattel Electronics. Mattel did not start by designing a computer. It instead began by looking around for a pre-made computer system it could market under its name. It discovered that one of its manufacturing partners, the Hong Kong based Radofin Electronics Far East, had already designed a three-system line of home computers. All Mattel had to do was secure the U.S. marketing rights, which it promptly did for the first two units in the line, and have Radofin handle the manufacturing.",Computers
